Ticker,Exchange Country
000534.sz,CN Exchange
000536.sz,CN Exchange
000537.sz,CN Exchange
000538.sz,CN Exchange
000539.sz,CN Exchange
000541.sz,CN Exchange
000543.sz,CN Exchange
000544.sz,CN Exchange
000545.sz,CN Exchange
000546.sz,CN Exchange
000547.sz,CN Exchange
000548.sz,CN Exchange
000550.sz,CN Exchange
000551.sz,CN Exchange
000552.sz,CN Exchange
000554.sz,CN Exchange
000555.sz,CN Exchange
000557.sz,CN Exchange
000558.sz,CN Exchange
000559.sz,CN Exchange
000560.sz,CN Exchange
000561.sz,CN Exchange
000563.sz,CN Exchange
000564.sz,CN Exchange
000565.sz,CN Exchange
000566.sz,CN Exchange
000567.sz,CN Exchange
000568.sz,CN Exchange
000570.sz,CN Exchange
000571.sz,CN Exchange
000572.sz,CN Exchange
000573.sz,CN Exchange
000576.sz,CN Exchange
000581.sz,CN Exchange
000582.sz,CN Exchange
000586.sz,CN Exchange
000589.sz,CN Exchange
000590.sz,CN Exchange
000591.sz,CN Exchange
000592.sz,CN Exchange
000593.sz,CN Exchange
000595.sz,CN Exchange
000596.sz,CN Exchange
000597.sz,CN Exchange
000598.sz,CN Exchange
000599.sz,CN Exchange
000600.sz,CN Exchange
000601.sz,CN Exchange
000603.sz,CN Exchange
000605.sz,CN Exchange
000607.sz,CN Exchange
000608.sz,CN Exchange
000609.sz,CN Exchange
000610.sz,CN Exchange
000612.sz,CN Exchange
000615.sz,CN Exchange
000617.sz,CN Exchange
000619.sz,CN Exchange
000620.sz,CN Exchange
000623.sz,CN Exchange
000625.sz,CN Exchange
000626.sz,CN Exchange
000628.sz,CN Exchange
000629.sz,CN Exchange
000630.sz,CN Exchange
000631.sz,CN Exchange
000632.sz,CN Exchange
000633.sz,CN Exchange
000635.sz,CN Exchange
000636.sz,CN Exchange
000637.sz,CN Exchange
000638.sz,CN Exchange
000639.sz,CN Exchange
000650.sz,CN Exchange
000553.sz,CN Exchange
200553.sz,CN Exchange
