Ticker,Exchange Country
BPF.si,SG Exchange
5DM.si,SG Exchange
YK9.si,SG Exchange
BKX.si,SG Exchange
YF8.si,SG Exchange
5SR.si,SG Exchange
5EG.si,SG Exchange
40W.si,SG Exchange
42W.si,SG Exchange
LVR.si,SG Exchange
KYB.si,SG Exchange
Z59.si,SG Exchange
DU4.si,SG Exchange
NC2.si,SG Exchange
STG.si,SG Exchange
Y92.si,SG Exchange
BBW.si,SG Exchange
BXE.si,SG Exchange
UIX.si,SG Exchange
BEH.si,SG Exchange
8A8.si,SG Exchange
STC.si,SG Exchange
N0Z.si,SG Exchange
CIN.si,SG Exchange
D01.si,SG Exchange
E9L.si,SG Exchange
K29.si,SG Exchange
M04.si,SG Exchange
P36.si,SG Exchange
K6S.si,SG Exchange
S07.si,SG Exchange
LYY.si,SG Exchange
VI2.si,SG Exchange
T15.si,SG Exchange
BN2.si,SG Exchange
BDR.si,SG Exchange
T43.si,SG Exchange
BTX.si,SG Exchange
YYB.si,SG Exchange
U9E.si,SG Exchange
BHD.si,SG Exchange
BCD.si,SG Exchange
P74.si,SG Exchange
GU5.si,SG Exchange
AWK.si,SG Exchange
HLS.si,SG Exchange
5PD.si,SG Exchange
BKK.si,SG Exchange
NIO.si,SG Exchange
AJ2.si,SG Exchange
AWM.si,SG Exchange
BKV.si,SG Exchange
C9Q.si,SG Exchange
BQP.si,SG Exchange
5GD.si,SG Exchange
T14.si,SG Exchange
B49.si,SG Exchange
BJV.si,SG Exchange
SO7.si,SG Exchange
BS6.si,SG Exchange
BWM.si,SG Exchange
HKB.si,SG Exchange
EMI.si,SG Exchange
U77.si,SG Exchange
42T.si,SG Exchange
P8Z.si,SG Exchange
BNE.si,SG Exchange
D03.si,SG Exchange
