Ticker,Exchange Country
0001.hk,HK Exchange
0002.hk,HK Exchange
0003.hk,HK Exchange
0004.hk,HK Exchange
0005.hk,HK Exchange
0006.hk,HK Exchange
0008.hk,HK Exchange
0010.hk,HK Exchange
0011.hk,HK Exchange
0012.hk,HK Exchange
0013.hk,HK Exchange
0014.hk,HK Exchange
0016.hk,HK Exchange
0017.hk,HK Exchange
0018.hk,HK Exchange
0019.hk,HK Exchange
0020.hk,HK Exchange
0021.hk,HK Exchange
0022.hk,HK Exchange
0023.hk,HK Exchange
0025.hk,HK Exchange
0026.hk,HK Exchange
0027.hk,HK Exchange
0028.hk,HK Exchange
0029.hk,HK Exchange
0030.hk,HK Exchange
0031.hk,HK Exchange
0032.hk,HK Exchange
0033.hk,HK Exchange
0034.hk,HK Exchange
0035.hk,HK Exchange
0036.hk,HK Exchange
0037.hk,HK Exchange
0038.hk,HK Exchange
0039.hk,HK Exchange
0040.hk,HK Exchange
0041.hk,HK Exchange
0042.hk,HK Exchange
0045.hk,HK Exchange
0046.hk,HK Exchange
0048.hk,HK Exchange
0050.hk,HK Exchange
0051.hk,HK Exchange
0052.hk,HK Exchange
0053.hk,HK Exchange
0055.hk,HK Exchange
0057.hk,HK Exchange
0058.hk,HK Exchange
0059.hk,HK Exchange
0060.hk,HK Exchange
0061.hk,HK Exchange
0062.hk,HK Exchange
0063.hk,HK Exchange
0064.hk,HK Exchange
0065.hk,HK Exchange
0066.hk,HK Exchange
0069.hk,HK Exchange
0070.hk,HK Exchange
0071.hk,HK Exchange
0072.hk,HK Exchange
0073.hk,HK Exchange
0075.hk,HK Exchange
0076.hk,HK Exchange
0077.hk,HK Exchange
0078.hk,HK Exchange
0079.hk,HK Exchange
0080.hk,HK Exchange
0081.hk,HK Exchange
0082.hk,HK Exchange
0083.hk,HK Exchange
0084.hk,HK Exchange
0085.hk,HK Exchange
0086.hk,HK Exchange
0087.hk,HK Exchange
0088.hk,HK Exchange
0089.hk,HK Exchange
0090.hk,HK Exchange
0092.hk,HK Exchange
0093.hk,HK Exchange
0094.hk,HK Exchange
0095.hk,HK Exchange
0096.hk,HK Exchange
0097.hk,HK Exchange
0098.hk,HK Exchange
0099.hk,HK Exchange
0101.hk,HK Exchange
0103.hk,HK Exchange
0104.hk,HK Exchange
0105.hk,HK Exchange
